"","Name_in_tree","Species_name","LMA","Canopy_area","LWratio","FWC"
"1","Protea_acaulos_seq1_1471","acaulos",-3.44194779671303,8.00002342493276,1.36637387540587,0.389979409890872
"17","Protea_acuminata_seq1_54A","acuminata",-3.34811987486613,9.56324849417138,2.73030081003703,0.0339280773863717
"25","Protea_amplexicaulis_seq1_260","amplexicaulis",-3.84638418164249,9.27812466679682,0.701424154272751,0.508408480828304
"33","Not_available","angustata",-3.42395052788907,10.6461366830779,2.63508174143906,0.326248432172624
"41","Protea_aureaaurea_seq1_1407","aurea",-3.72962694620123,7.88775791646167,0.935899774600718,0.214809909885157
"49","Protea_aureapotbergensis_seq1_1450","aurea_potbergensis",-3.66777775501065,7.55202232808822,0.520436481559155,0.286151347489876
"56","Protea_canaliculata_seq1_21A","canaliculata",-3.33912906717755,9.33576001806721,2.1560615028232,-0.0588769307622823
"64","Protea_compacta_seq1_145C","compacta",-3.45854701687198,9.31016459910661,0.850991307082809,0.197883937841715
"72","Protea_cordata_seq1_JC06","cordata",-3.62842895569139,6.80072169669521,0.0151136434531732,0.558193210015387
"88","Protea_coronata_seq1_35B","coronata",-4.19868938969918,9.45825657946938,1.39424331047027,0.180771435507755
"104","Protea_cryophila_seq1_59A","cryophila",-2.76600730138081,8.20324617766791,2.08137985287788,0.0399058526704368
"112","Protea_cynaroides_seq1_JC05","cynaroides",-3.34918466786881,8.15584054652198,0.885800085046438,0.601506716998673
"136","Protea_decurrens_seq1_36A","decurrens",-4.10651075613749,9.44288048053232,2.76243497628901,0.889438380105225
"144","Protea_denticulata_seq1_7A","denticulata",-3.13995426236618,6.57735958990948,2.92297808549784,0.246380481849958
"149","Protea_eximia_seq1_1426","eximia",-3.82447838834462,8.54894243143278,0.881617417190139,0.387037867975776
"173","Protea_grandiceps_seq1_JC12","grandiceps",-3.64318308985946,7.81410899648571,0.692918870186615,0.485689499583892
"181","Protea_intonsa_seq1_285","intonsa",-3.17605472738648,7.37604145132084,3.36345132823023,0.200660614104516
"213","Protea_lanceolata_seq1_1429","lanceolata",-3.87754615281146,9.94569125042649,1.58036867290342,0.43732069071302
"221","Protea_laurifolia_seq1_258","laurifolia",-3.31305458263856,10.6427548303008,1.25987348433463,0.136676252672563
"245","Protea_lepidocarpodendron_seq1_GG1","lepidocarpodendron",-3.382398187784,9.7937733701948,2.09902603380453,0.000606926158052579
"260","Protea_longifolia_seq1_1427","longifolia",-3.42504788205356,7.68729189991193,2.40950907103236,0.129463186559497
"268","Protea_lorifolia_seq1_14A","lorifolia",-3.15410721301603,10.413963970787,1.83845952313804,0.0598951265445471
"292","Protea_magnifica_seq1_JC13","magnifica",-3.20135288661414,11.3375793490577,1.29626203770852,0.00405347344007913
"300","Protea_montana_seq1_240","montana",-3.87394099022517,10.3529257724954,2.81730134858705,0.349930234436872
"316","Protea_mundii_seq1_1462","mundii",-3.77821300161932,9.90375098374133,1.35368288526817,0.369024976100233
"324","Protea_nana_seq1_259","nana",-4.19723659376198,8.87905631050888,2.95796951036996,0.120147949153845
"332","Protea_neriifolia_seq1_29B","neriifolia",-3.53087191439918,9.65376488960288,1.77108633093084,0.0724299601412044
"348","Protea_nitida_seq1_1447","nitida",-3.44897584452398,10.4379692190948,1.11872524541129,0.443413350234627
"402","Protea_odorata_seq1_15","odorata",-3.58490049786997,7.48954353993223,2.85900325496841,-0.0597595750460523
"410","Protea_piscina_seq1_52A","piscina",-3.46835550496335,5.80210701121506,3.77912473632434,0.231225988541741
"426","Protea_pruinosa_seq1_287","pruinosa",-3.23346533609719,9.73888411843802,1.41897053546901,0.20371198903689
"427","Protea_punctata_seq1_1405","punctata",-3.50640364843264,8.8525328510823,0.860703848866068,0.215861973372781
"451","Protea_recondita_seq1_1415","recondita",-3.36764682770397,10.3336008046443,0.903350922327552,0.269282656243648
"460","Protea_repens_seq1_275","repens",-3.43997514290959,9.67526117905854,2.34345148661712,0.0813831537610051
"531","Protea_rupicola_seq1_161","rupicola",-3.50681515540801,10.1025944411053,1.24785156635244,0.350583337043372
"538","Protea_scabra_seq1_45A","scabra",-3.04113279605522,7.65156440301474,3.10056080849767,0.143330023651928
"554","Protea_scolopendriifolia_seq1_232","scolopendriifolia",-3.21978512148643,6.94878854434017,1.49420354100421,-0.0810896930794626
"575","Protea_speciosa_seq1_JC07","speciosa",-3.40498083866773,6.04466636678946,1.04714914169853,0.504806433658113
"583","Protea_subulifolia_seq1_43A","subulifolia",-3.53427692781324,8.10127532900649,0.738606363344111,0.243058308696125
"591","Protea_sulphurea_seq1_1430","sulphurea",-3.50573058547016,11.2297900168398,1.14193620125955,0.204273922705363
"599","Protea_susannae_seq1_1453","susannae",-3.56381126860942,11.4923822907081,1.72298124392171,0.176074748027678
"607","Protea_tenax_seq1_13A","tenax",-3.36583809499859,8.98212391423386,2.06916892226901,0.240914467946079
"615","Protea_venusta_seq1_1410","venusta",-3.70685026111784,10.3648906297229,1.08977964290511,0.470464811634788
"623","Protea_witzenbergiana_seq1_55B","witzenbergiana",-3.36884665401767,10.8330594952308,1.18583587122735,0.431014212747571
