In_analyses,Name_in_Duchene,NameInTree,Brain.size,M.avgBL,M.avgWT,F.avgBL,F.avgWT,  ,F.logBL,M.logWT,M.logBL,Genus species,M.minBL,M.maxBL,F.minBL,F.maxBL,M.minWT,M.maxWT,F.minWT,F.maxWT,M.BC,M.logBC,F.logBC,Biome,Habitat,Ecology
Yes,Phalangeridae_Phalanger_carmelitae,Phalanger_gymnotis,8.9,375,1850,375,1850,3.267171728,2.574031268,3.267171728,2.574031268,Phalanger gymnotis             ,350,400,350,400,1500,2200,1500,2200,0.202702703,-0.693140461,,,,
Yes,Phalangeridae_Phalanger_orientalis,Phalanger_vestitus,9.22,424,1850,424,1850,3.267171728,2.627365857,3.267171728,2.627365857,Phalanger vestitus             ,424,,424,,1850,,1850,,0.229189189,-0.639805872,,,,
Yes,Dasyuridae_Phascogale_calura,Phascogale_calura,0.91,113.5,53.5,99,43,1.633468456,1.995635195,1.728353782,2.054995862,Phascogale calura              ,105,122,93,105,39,68,38,48,2.121495327,0.32664208,,,,
Yes,Dasyuridae_Phascogale_tapoatafa,Phascogale_tapoatafa,1.81,210.5,253,185.5,159,2.201397124,2.268343914,2.403120521,2.3232521,Phascogale tapoatafa           ,160,261,148,223,175,331,106,212,0.83201581,-0.079868421,,,,
Yes,Phascolarctidae_Phascolarctos_cinereus,Phascolarctos_cinereus,20.2,785,12200,705,9000,3.954242509,2.848189117,4.086359831,2.894869657,Phascolarctos cinereus         ,750,820,680,730,9500,14900,7000,11000,0.064344262,-1.191490174,,,,
Yes,Dasyuridae_Planigale_tenuirostris,Planigale_spp.,0.2,70,12.75,65,7,0.84509804,1.812913357,1.105510185,1.84509804,Planigale spp.                 ,60,80,60,70,9.5,16,5,9,5.490196078,0.739587855,,,,
Yes,Potoroidae_Potorous_tridactylus_north,Potorous_tridactylus,9.53,348.5,1190,318.5,1005,3.002166062,2.503109437,3.075546961,2.542202782,Potorous tridactylus           ,287,410,259,378,740,1640,660,1350,0.292857143,-0.533344179,,,,
Yes,Pseudochiridae_Pseudocheirus_peregrinus_north,Pseudocheirus_peregrinus,4.52,325,800,325,800,2.903089987,2.511883361,2.903089987,2.511883361,Pseudocheirus peregrinus       ,300,350,300,350,700,900,700,900,0.40625,-0.391206626,,,,
Yes,Pseudochiridae_Pseudocheirus_occidentalis,Pseudocheirus_occidentalis,5.58,370,1200,,,,,,,,,,,,,,,,,,,,,
Yes,Pseudochiridae_Pseodochirops_corinnae,Pseudochirops_corinnae,5.31,333,1123,333,1123,3.050379756,2.522444234,3.050379756,2.522444234,Pseudochirops corinnae         ,333,,333,,1123,,1123,,0.296527159,-0.527935523,,,,
Yes,Pseudochiridae_Pseudochirulus_forbesi,Pseudochirulus_forbesi,3.62,265,640,265,640,2.806179974,2.423245874,2.806179974,2.423245874,Pseudochirulus forbesi         ,265,,265,,640,,640,,0.4140625,-0.3829341,,,,
Yes,Dasyuridae_Sarcophilus_harrisii,Sarcophilus_harrisii,16.09,652,11000,570,7000,3.84509804,2.755874856,4.041392685,2.814247596,Sarcophilus harrisii           ,652,,570,,8000,14000,5000,9000,0.059272727,-1.227145089,,,,
