In_analyses,Name_in_Duchene,NameInTree,Brain.size,M.avgBL,M.avgWT,F.avgBL,F.avgWT,  ,F.logBL,M.logWT,M.logBL,Genus species,M.minBL,M.maxBL,F.minBL,F.maxBL,M.minWT,M.maxWT,F.minWT,F.maxWT,M.BC,M.logBC,F.logBC,Biome,Habitat,Ecology
,,Phascomurexia_naso,,122,52,122,52,1.716003344,2.086359831,1.716003344,2.086359831,Phascomurexia naso             ,122,,122,,52,,52,,2.346153846,0.370356487,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Potorous_longipes,,397.5,2100,397.5,1700,3.230448921,2.599337133,3.322219295,2.599337133,Potorous longipes              ,380,415,380,415,2000,2200,1600,1800,0.189285714,-0.722882162,,,,
,,Pseudantechinus_bilarni,,102.5,30,102.5,25,1.397940009,2.010723865,1.477121255,2.010723865,Pseudantechinus bilarni        ,90,115,90,115,20,40,15,35,3.416666667,0.533602611,,,,
,,Pseudantechinus_macdonnellensis,,100,35,100,30,1.477121255,2,1.544068044,2,Pseudantechinus macdonnellensis,95,105,95,105,25,45,20,40,2.857142857,0.455931956,,,,
,,Pseudantechinus_mimulus,,85,16,77,19.5,1.290034611,1.886490725,1.204119983,1.929418926,Pseudantechinus mimulus        ,80,90,63,91,14,18,14,25,5.3125,0.725298943,,,,
,,Pseudantechinus_ningbing,,95,22.5,85,17.5,1.243038049,1.929418926,1.352182518,1.977723605,Pseudantechinus ningbing       ,90,100,80,90,20,25,15,20,4.222222222,0.625541087,,,,
,,Pseudantechinus_woolleyae,,107.5,42.5,104,37.5,1.574031268,2.017033339,1.62838893,2.031408464,Pseudantechinus woolleyae      ,107,108,100,108,35,50,30,45,2.529411765,0.403019534,,,,
,,Pseudochirops_albertisii,,325,784,325,784,2.894316063,2.511883361,2.894316063,2.511883361,Pseudochirops albertisii       ,325,,325,,784,,784,,0.414540816,-0.382432702,,,,
,,Pseudochirops_archeri,,362,1140,363.5,1232.5,3.090786928,2.560504415,3.056904851,2.558708571,Pseudochirops archeri          ,324,400,324,403,910,1370,910,1555,0.31754386,-0.498196281,,,,
,,Pseudochirops_cupreus,,379,1725,379,1725,3.236789099,2.57863921,3.236789099,2.57863921,Pseudochirops cupreus          ,379,,379,,1725,,1725,,0.219710145,-0.658149889,,,,
,,Pseudochirulus_canescens,,353,1140,351.5,950,2.977723605,2.545925329,3.056904851,2.547774705,Pseudochirulus canescens       ,346,360,335,368,830,1450,700,1200,0.309649123,-0.509130146,,,,
,,Pseudochirulus_caroli,,310,440,310,440,2.643452676,2.491361694,2.643452676,2.491361694,Pseudochirulus caroli          ,310,,310,,440,,440,,0.704545455,-0.152090983,,,,
,,Pseudochirulus_herbertensis,,375,817.5,338.5,989.5,2.995415799,2.529558673,2.912487761,2.574031268,Pseudochirulus herbertensis    ,350,400,301,376,80,1555,749,1230,0.458715596,-0.338456494,,,,
,,Pseudochirulus_mayeri,,199,151,199,151,2.178976947,2.298853076,2.178976947,2.298853076,Pseudochirulus mayeri          ,199,,199,,151,,151,,1.317880795,0.119876129,,,,
,,Setonix_brachyurus,,485,3450,445,2550,3.40654018,2.648360011,3.537819095,2.685741739,Setonix brachyurus             ,430,540,390,500,2700,4200,1600,3500,0.14057971,-0.852077356,,,,
,,Sminthopsis_crassicaudata,,75,15,75,15,1.176091259,1.875061263,1.176091259,1.875061263,Sminthopsis crassicaudata      ,60,90,60,90,10,20,10,20,5,0.698970004,,,,
,,Sminthopsis_dolichura,,81,15.5,77.5,15.5,1.190331698,1.889301703,1.190331698,1.908485019,Sminthopsis dolichura          ,63,99,63,92,11,20,10,21,5.225806452,0.718153321,,,,
,,Sminthopsis_douglasi,,132.5,60,117.5,50,1.698970004,2.070037867,1.77815125,2.122215878,Sminthopsis douglasi           ,130,135,110,125,50,70,40,60,2.208333333,0.344064628,,,,
,,Spilocuscus_rufoniger,,700,7000,700,6000,3.77815125,2.84509804,3.84509804,2.84509804,Spilocuscus rufoniger          ,700,,700,,,7000,,6000,0.1,-1,,,,
,,Strigocuscus_celebensis,,352.5,1000,320,750,2.875061263,2.505149978,3,2.547159121,Strigocuscus celebensis        ,325,380,290,350,,1000,,750,0.3525,-0.452840879,,,,
,,Thylacinus_cynocephalus,,1150,25000,1150,25000,4.397940009,3.06069784,4.397940009,3.06069784,Thylacinus cynocephalus        ,1000,1300,1000,1300,15000,35000,15000,35000,0.046,-1.337242168,,,,
,,Thylogale_browni,,630,7900,560,6200,3.792391689,2.748188027,3.897627091,2.799340549,Thylogale browni               ,630,,560,,3800,12000,2400,10000,0.079746835,-1.098286542,,,,
,,Thylogale_brunii,,539,4000,539,4000,3.602059991,2.731588765,3.602059991,2.731588765,Thylogale brunii               ,539,,539,,4000,,4000,,0.13475,-0.870471226,,,,
,,Thylogale_stigmatica,,503,5250,453,3350,3.525044807,2.656098202,3.720159303,2.701567985,Thylogale stigmatica           ,470,536,386,520,3700,6800,2500,4200,0.095809524,-1.018591318,,,,
,,Thylogale_thetis,,460,5800,395,3050,3.484299839,2.596597096,3.763427994,2.662757832,Thylogale thetis               ,300,620,290,500,2500,9100,1800,4300,0.079310345,-1.100670162,,,,
,,Trichosurus_caninus,,450,3500,450,3500,3.544068044,2.653212514,3.544068044,2.653212514,Trichosurus caninus            ,400,500,400,500,2500,4500,2500,4500,0.128571429,-0.890855531,,,,
,,Trichosurus_johnstonii,,515,3400,515,3400,3.531478917,2.711807229,3.531478917,2.711807229,Trichosurus johnstonii         ,490,540,490,540,2600,4200,2600,4200,0.151470588,-0.819671688,,,,
,,Wyulda_squamicaudata,,352.5,1450,352.5,1450,3.161368002,2.547159121,3.161368002,2.547159121,Wyulda squamicaudata           ,310,395,310,395,900,2000,900,2000,0.243103448,-0.614208881,,,,
,,Potorous_gilbertii,,328.5,1022.5,317,902.5,2.955447211,2.501059262,3.009663317,2.516535374,Potorous gilbertii             ,286,371,291,343,845,1200,710,1095,0.321271394,-0.493127943,,,,
